Dt Nascimento,Frequ̻ncia
17/09/2010,37
04/07/2011,35
19/03/2009,35
27/04/2007,35
03/09/2008,34
22/07/2007,34
19/04/2010,33
25/03/2011,33
08/04/2011,33
03/12/2010,32
13/05/2010,32
06/02/2006,31
25/02/2010,30
07/04/2008,29
15/01/2010,29
20/02/2009,28
16/07/2009,28
05/01/2007,27
26/01/2009,26
01/07/2008,26
12/04/2008,26
31/12/2010,26
07/09/2011,26
11/01/2007,26
14/03/2010,25
21/08/2008,25
15/09/2007,25
12/07/2011,25
12/03/2009,25
28/12/2009,25
08/03/2008,24
03/04/2009,24
09/09/2009,24
11/03/2009,24
04/03/2011,24
23/09/2009,24
23/01/2008,24
03/03/2009,23
30/10/2008,23
21/04/2008,23
03/03/2007,23
31/08/2007,23
16/01/2011,23
09/10/2007,23
27/01/2009,23
24/06/2009,23
04/03/2009,23
02/08/2008,23
09/03/2010,23
02/06/2011,23
14/01/2011,23
27/02/2009,22
23/05/2007,22
15/10/2010,22
15/03/2007,22
16/04/2008,22
22/09/2007,22
29/11/2007,22
10/05/2007,22
29/05/2010,22
03/04/2007,21
18/01/2010,21
30/12/2010,21
09/04/2010,21
06/04/2006,21
02/02/2007,21
12/09/2007,21
18/07/2008,21
17/04/2006,21
13/05/2011,21
27/02/2008,21
13/11/2007,21
04/06/2008,20
20/11/2012,20
07/01/2010,20
01/10/2008,20
02/06/2009,20
19/11/2012,20
22/07/2009,20
05/12/2010,20
24/06/2012,19
21/09/2009,19
16/01/2008,19
27/01/2008,19
06/09/2009,19
31/01/2009,19
22/12/2010,19
12/08/2009,19
25/11/2010,19
11/03/2011,19
06/04/2010,19
19/07/2010,19
06/02/2010,19
05/04/2012,19
11/05/2009,19
01/12/2008,19
10/02/2009,18
22/01/2008,18
25/02/2008,18
03/08/2008,18
05/10/2008,18
17/11/2009,18
25/06/2007,18
16/04/2007,18
27/02/2012,18
18/05/2009,18
22/02/2011,18
26/11/2010,18
05/11/2012,18
02/05/2009,18
16/07/2011,18
29/10/2010,18
31/01/2012,18
26/09/2007,18
08/02/2009,18
07/10/2010,17
29/04/2009,17
28/04/2008,17
04/11/2008,17
06/12/2011,17
30/03/2011,17
21/03/2009,17
20/05/2009,17
03/04/2008,17
28/05/2010,17
23/05/2011,17
23/01/2007,17
18/04/2011,17
26/10/2011,17
03/05/2011,17
17/11/2011,17
29/06/2011,17
14/08/2012,17
01/01/2007,17
28/06/2011,17
20/10/2007,17
30/05/2011,16
24/01/2009,16
26/10/2012,16
07/10/2008,16
29/06/2007,16
15/05/2009,16
29/10/2011,16
19/12/2008,16
20/05/2006,16
30/03/2012,16
04/05/2007,16
11/05/2010,16
25/09/2006,16
18/02/2008,16
11/05/2008,16
13/12/2010,15
16/04/2009,15
07/03/2008,15
12/10/2009,15
04/01/2011,15
25/08/2008,15
19/07/2006,15
12/08/2011,15
13/07/2008,15
15/01/2008,15
13/08/2009,15
30/11/2012,15
13/04/2012,15
01/09/2008,15
07/11/2007,15
16/07/2006,15
26/02/2006,15
14/11/2011,15
17/08/2007,15
20/04/2006,15
09/09/2007,15
06/06/2008,15
23/10/2013,14
28/04/2010,14
04/10/2011,14
07/08/2012,14
19/09/2012,14
21/05/2010,14
27/09/2006,14
28/05/2007,14
23/07/2010,14
01/12/2011,14
28/03/2011,14
09/07/2010,14
11/07/2010,14
01/03/2011,14
03/03/2010,14
07/07/2009,14
29/03/2009,14
14/06/2009,14
29/07/2007,14
31/01/2011,14
23/11/2011,14
13/02/2007,14
13/06/2010,14
31/03/2011,14
12/08/2010,14
24/02/2011,14
23/04/2011,14
22/12/2011,14
09/03/2007,14
20/07/2007,14
27/09/2007,14
21/01/2009,14
17/12/2008,14
11/12/2006,14
13/06/2007,14
18/06/2011,14
07/09/2007,14
11/03/2006,14
17/07/2008,14
17/11/2007,14
04/12/2007,14
07/07/2007,14
01/12/2009,14
01/09/2012,14
15/05/2010,14
09/07/2011,14
24/10/2011,14
28/06/2010,13
04/04/2012,13
29/08/2008,13
20/05/2010,13
12/10/2008,13
30/06/2009,13
23/10/2006,13
13/06/2009,13
18/07/2009,13
15/11/2006,13
02/12/2009,13
02/11/2009,13
16/10/2010,13
23/07/2008,13
26/02/2012,13
08/04/2009,13
24/05/2012,13
29/11/2009,13
12/10/2011,13
01/01/2008,13
19/11/2008,13
19/02/2010,13
15/06/2010,13
19/03/2010,13
11/01/2008,13
22/02/2007,13
27/03/2007,13
01/08/2008,13
08/08/2012,13
03/02/2007,13
31/08/2009,13
03/08/2012,13
28/01/2011,13
27/06/2010,13
10/03/2011,13
20/04/2007,13
12/06/2007,13
23/10/2012,13
16/08/2007,13
20/11/2010,13
20/01/2010,13
02/03/2007,13
07/10/2012,13
22/01/2012,13
25/10/2010,13
23/04/2010,13
15/03/2012,13
07/02/2011,13
23/06/2009,13
27/02/2007,13
15/02/2007,13
03/05/2006,13
21/07/2008,13
28/03/2009,13
11/08/2008,13
20/09/2006,13
20/01/2007,13
01/02/2007,13
23/05/2006,13
23/06/2010,13
20/03/2006,13
09/01/2007,13
05/03/2007,13
28/06/2007,13
26/06/2008,13
16/02/2008,13
16/06/2007,13
25/10/2007,13
31/01/2006,13
20/04/2009,13
19/02/2009,13
24/08/2007,13
13/10/2007,12
13/06/2008,12
21/01/2008,12
18/02/2012,12
09/11/2008,12
01/11/2007,12
11/06/2011,12
13/09/2010,12
16/06/2012,12
02/08/2010,12
20/12/2007,12
22/07/2010,12
30/07/2010,12
12/04/2007,12
23/07/2012,12
08/03/2010,12
18/06/2010,12
22/03/2011,12
19/02/2011,12
10/10/2008,12
04/08/2011,12
09/12/2010,12
06/04/2007,12
02/06/2008,12
02/04/2012,12
12/11/2011,12
09/02/2012,12
27/12/2009,12
19/09/2010,12
08/11/2011,12
11/07/2012,12
13/11/2011,12
02/09/2010,12
13/03/2008,12
27/04/2010,12
19/08/2008,12
02/01/2008,12
10/02/2010,12
10/08/2008,12
07/01/2008,12
18/06/2009,12
25/11/2013,12
05/06/2012,12
14/08/2010,12
26/07/2011,12
17/07/2011,12
05/05/2008,12
07/02/2009,12
30/08/2008,12
20/06/2010,12
04/11/2011,12
28/12/2012,12
26/04/2008,12
24/12/2008,12
14/03/2012,12
05/04/2011,12
16/11/2008,12
02/04/2008,12
19/04/2007,12
05/05/2013,11
08/11/2009,11
06/11/2011,11
31/08/2011,11
08/05/2007,11
16/05/2008,11
05/06/2011,11
14/07/2009,11
08/06/2009,11
25/06/2009,11
20/04/2008,11
18/01/2009,11
26/01/2011,11
01/04/2013,11
21/11/2009,11
30/04/2008,11
17/01/2006,11
27/08/2007,11
14/04/2009,11
24/07/2008,11
29/08/2012,11
21/01/2012,11
13/01/2009,11
07/03/2009,11
30/09/2008,11
09/01/2008,11
06/05/2009,11
10/01/2012,11
03/11/2011,11
15/12/2010,11
07/07/2012,11
30/03/2013,11
29/02/2012,11
03/03/2013,11
15/12/2009,11
18/10/2009,11
31/10/2009,11
03/10/2008,11
06/09/2008,11
28/01/2008,11
22/03/2008,11
01/06/2009,11
27/07/2011,11
23/04/2012,11
05/04/2010,11
04/10/2008,11
10/06/2008,11
10/07/2009,11
27/12/2008,11
18/09/2011,11
15/01/2009,11
16/02/2009,11
18/07/2007,11
23/10/2007,11
26/08/2008,11
11/11/2008,11
21/10/2011,11
27/12/2006,11
10/04/2012,11
20/08/2012,11
09/04/2007,11
08/03/2007,11
07/05/2010,11
29/04/2011,11
14/10/2010,11
27/05/2011,11
11/08/2010,11
10/01/2011,11
27/04/2006,11
04/09/2011,11
02/02/2012,11
17/02/2011,11
28/02/2007,11
24/07/2007,11
08/12/2007,11
28/06/2006,11
16/12/2007,11
23/06/2011,11
30/12/2009,10
02/10/2009,10
03/10/2009,10
28/02/2010,10
05/08/2012,10
26/04/2009,10
22/09/2009,10
01/06/2010,10
29/05/2007,10
13/03/2007,10
14/11/2007,10
21/03/2012,10
29/09/2008,10
03/08/2009,10
16/02/2010,10
31/07/2009,10
10/12/2008,10
08/09/2008,10
09/09/2008,10
11/02/2008,10
28/06/2009,10
06/09/2007,10
04/09/2009,10
04/09/2008,10
21/11/2008,10
20/03/2009,10
20/04/2010,10
12/08/2008,10
16/12/2012,10
01/04/2007,10
14/12/2009,10
12/07/2009,10
11/01/2010,10
19/01/2008,10
20/07/2010,10
26/02/2010,10
29/09/2012,10
22/06/2006,10
15/08/2008,10
25/04/2011,10
22/07/2006,9
14/01/2009,9
26/07/2012,9
25/08/2009,9
29/08/2011,9
22/08/2008,9
10/03/2010,9
15/10/2009,9
29/11/2011,9
26/02/2011,9
04/07/2008,9
25/05/2010,9
06/06/2009,9
01/06/2012,9
01/09/2011,9
13/08/2008,9
01/10/2010,9
12/01/2012,9
27/08/2010,9
31/12/2008,9
17/02/2006,9
22/06/2010,9
09/06/2007,9
24/04/2006,9
12/10/2006,9
03/06/2012,9
04/05/2009,9
08/12/2010,9
18/09/2006,9
09/06/2008,9
24/02/2010,9
08/02/2012,9
05/06/2010,9
07/03/2010,9
14/08/2008,9
05/04/2006,9
27/11/2007,9
27/04/2009,9
17/09/2008,9
04/08/2008,9
20/07/2013,9
19/08/2012,9
12/09/2011,9
18/01/2011,9
24/07/2010,9
06/07/2012,9
21/03/2013,9
03/04/2011,9
21/04/2013,9
23/05/2008,8
07/11/2010,8
03/07/2009,8
01/12/2010,8
27/06/2008,8
14/09/2010,8
16/01/2012,8
29/08/2007,8
20/03/2008,8
05/04/2007,8
23/11/2008,8
30/05/2008,8
01/08/2007,8
21/04/2010,8
28/05/2006,8
17/11/2008,8
17/05/2011,8
03/02/2010,8
11/04/2006,8
14/04/2011,8
30/04/2010,8
04/09/2010,8
09/05/2006,8
04/02/2011,8
27/01/2010,8
05/02/2010,8
13/06/2011,8
15/06/2009,8
02/10/2006,8
27/11/2008,8
17/08/2009,8
10/08/2006,8
12/01/2006,8
24/01/2012,8
12/12/2006,8
29/12/2010,8
06/06/2006,8
13/02/2006,8
19/11/2006,8
24/09/2011,8
04/07/2006,8
11/01/2006,8
27/06/2007,8
24/04/2011,8
23/12/2007,8
26/08/2006,8
13/04/2006,8
25/07/2006,8
23/08/2006,8
06/09/2006,8
24/08/2006,8
24/02/2007,8
24/04/2010,8
27/03/2006,8
28/03/2008,8
31/10/2010,8
23/07/2006,8
28/11/2008,8
09/04/2008,8
18/11/2008,8
09/12/2008,8
23/06/2006,8
05/11/2006,8
16/05/2006,8
23/02/2006,8
27/08/2008,7
04/05/2010,7
28/09/2009,7
08/01/2013,7
10/04/2006,7
11/05/2011,7
19/08/2011,7
03/04/2010,7
13/01/2008,7
16/11/2010,7
14/03/2007,7
31/01/2008,7
30/04/2006,7
05/07/2006,7
24/06/2006,7
13/06/2006,7
08/02/2008,7
13/04/2008,7
14/07/2008,7
12/03/2012,7
04/12/2008,7
13/10/2006,7
18/12/2008,7
24/01/2008,7
28/07/2006,7
22/07/2008,7
04/04/2006,7
29/03/2008,7
20/09/2011,7
22/02/2012,7
11/04/2010,7
20/10/2006,7
19/02/2008,7
22/12/2008,7
30/06/2010,7
01/11/2006,7
29/03/2006,7
01/06/2006,7
11/06/2006,7
14/09/2006,7
02/08/2006,7
24/04/2008,7
06/02/2009,7
16/08/2010,7
19/05/2008,7
26/04/2010,7
20/02/2008,7
03/01/2006,7
12/10/2007,7
29/05/2009,7
28/08/2009,7
11/09/2006,7
26/05/2011,7
08/05/2012,7
15/03/2013,7
14/10/2013,7
27/03/2013,7
16/03/2012,7
07/03/2011,7
07/03/2013,7
09/08/2012,7
26/09/2012,7
08/09/2012,7
07/03/2012,7
19/04/2011,7
15/10/2012,7
09/06/2009,7
11/04/2008,7
25/03/2009,7
22/03/2009,7
13/02/2010,7
03/01/2009,7
23/12/2009,7
25/10/2009,7
11/06/2009,7
01/01/2009,7
17/09/2009,7
26/04/2011,7
20/07/2009,7
28/10/2012,7
17/01/2013,7
11/09/2012,7
08/06/2011,7
13/08/2007,7
04/11/2007,7
02/12/2006,7
01/11/2009,7
16/11/2006,7
30/08/2006,7
16/01/2006,7
09/12/2007,7
12/04/2006,7
17/07/2006,7
04/05/2006,7
26/09/2006,7
22/11/2007,7
23/02/2010,7
10/03/2007,7
28/07/2010,7
11/07/2006,7
14/03/2006,7
30/12/2007,7
24/11/2006,7
03/11/2012,7
18/07/2012,7
27/09/2009,7
18/03/2013,7
19/03/2011,7
16/05/2013,7
17/08/2011,7
01/04/2012,7
28/08/2013,7
21/11/2011,7
31/10/2011,7
10/03/2013,7
11/03/2012,7
09/03/2013,7
26/07/2008,7
22/06/2008,7
12/06/2009,7
10/11/2011,7
29/09/2011,7
07/02/2013,7
23/03/2006,7
17/12/2012,7
13/05/2007,7
04/09/2007,7
16/02/2013,7
20/06/2009,7
06/12/2010,6
05/08/2010,6
17/07/2012,6
24/09/2009,6
24/10/2006,6
03/06/2011,6
20/03/2011,6
24/09/2006,6
22/04/2010,6
16/01/2007,6
02/02/2009,6
13/09/2007,6
04/07/2007,6
12/07/2007,6
14/06/2006,6
18/11/2006,6
07/11/2008,6
23/12/2008,6
18/02/2009,6
05/06/2008,6
06/01/2008,6
30/12/2011,6
02/10/2010,6
04/06/2010,6
30/03/2008,6
07/04/2007,6
07/05/2007,6
24/03/2006,6
01/02/2011,6
01/08/2011,6
30/11/2007,6
20/12/2008,6
24/12/2009,6
01/08/2009,6
05/04/2008,6
17/09/2011,6
12/05/2012,6
13/09/2012,6
28/08/2007,6
11/10/2012,6
03/01/2013,6
07/10/2011,6
01/11/2012,6
28/01/2010,6
18/05/2008,6
22/10/2008,6
29/12/2006,6
29/12/2007,6
31/03/2012,6
19/09/2011,6
30/09/2012,6
04/08/2006,6
25/01/2011,6
27/12/2011,6
07/06/2006,6
24/03/2011,6
07/09/2009,6
19/10/2007,6
29/08/2006,6
03/08/2006,6
25/12/2006,6
11/10/2010,6
12/02/2011,6
06/10/2012,6
30/10/2009,6
22/12/2006,6
30/11/2006,6
25/06/2006,6
06/01/2007,6
22/09/2006,6
23/06/2008,6
09/05/2008,6
23/03/2010,6
22/05/2008,6
29/06/2006,6
05/08/2011,6
03/07/2012,6
05/09/2012,6
09/08/2011,6
29/08/2013,6
19/06/2013,6
22/05/2012,6
30/06/2011,6
19/07/2012,6
21/01/2013,6
20/11/2013,6
18/10/2011,6
11/12/2012,6
09/05/2012,6
22/01/2013,6
24/11/2012,6
30/04/2007,6
24/05/2013,6
06/04/2012,6
14/05/2009,6
05/01/2010,6
31/05/2010,6
21/10/2010,6
24/03/2009,6
08/09/2010,6
29/10/2009,6
23/03/2009,6
20/12/2006,5
09/12/2012,5
26/09/2013,5
24/07/2012,5
25/04/2012,5
06/01/2013,5
25/10/2012,5
10/12/2012,5
25/07/2012,5
28/07/2012,5
24/08/2012,5
17/03/2006,5
02/07/2013,5
27/11/2013,5
13/09/2011,5
05/02/2012,5
26/06/2012,5
26/01/2010,5
22/04/2009,5
26/01/2007,5
18/03/2009,5
07/12/2008,5
12/02/2009,5
29/04/2008,5
19/11/2010,5
25/07/2010,5
10/10/2011,5
07/06/2011,5
25/08/2013,5
09/01/2013,5
06/08/2011,5
17/09/2012,5
03/09/2006,5
09/06/2006,5
22/02/2006,5
19/08/2006,5
18/08/2006,5
15/12/2006,5
09/04/2012,5
08/05/2008,5
14/09/2011,5
16/04/2011,5
31/10/2008,5
08/07/2007,5
07/03/2007,5
17/05/2008,5
15/09/2008,5
10/09/2007,5
06/12/2007,5
26/10/2008,5
16/07/2007,5
23/07/2007,5
06/05/2007,5
27/07/2007,5
10/01/2010,5
08/06/2008,5
24/01/2007,5
06/03/2007,5
04/04/2009,5
01/10/2009,5
16/12/2009,5
30/08/2010,5
20/03/2007,5
03/06/2006,5
30/03/2010,5
25/03/2010,5
22/08/2009,5
13/04/2009,5
24/11/2009,5
24/04/2009,5
18/12/2009,5
11/02/2010,5
13/08/2010,5
26/06/2009,5
22/01/2009,5
10/11/2009,5
22/02/2010,5
21/08/2009,5
23/05/2009,5
07/07/2010,5
24/08/2010,5
18/01/2006,5
18/11/2009,5
13/11/2009,5
14/06/2011,5
28/02/2011,5
03/08/2013,5
01/03/2012,5
22/09/2012,5
21/07/2010,5
15/07/2008,5
02/09/2006,5
11/03/2008,5
16/11/2009,5
21/07/2006,5
13/12/2007,5
22/08/2011,5
08/10/2011,5
14/10/2012,5
17/02/2007,5
25/08/2006,5
27/10/2009,5
16/01/2009,5
24/12/2007,5
21/09/2010,5
24/02/2008,5
01/05/2007,5
24/11/2007,5
30/06/2007,5
20/10/2008,5
03/06/2007,5
22/08/2007,4
30/11/2008,4
29/01/2010,4
07/11/2006,4
16/09/2008,4
27/10/2010,4
10/04/2010,4
21/11/2006,4
25/02/2011,4
04/04/2010,4
05/03/2006,4
04/12/2010,4
15/03/2009,4
29/01/2008,4
13/11/2010,4
15/11/2009,4
13/02/2009,4
29/12/2009,4
07/05/2008,4
30/11/2009,4
25/10/2011,4
11/06/2007,4
14/10/2011,4
04/08/2007,4
06/11/2007,4
10/03/2012,4
11/10/2011,4
08/04/2006,4
28/01/2006,4
20/01/2006,4
09/09/2006,4
30/09/2007,4
11/10/2006,4
03/10/2010,4
14/05/2011,4
07/08/2008,4
23/01/2009,4
14/12/2012,4
07/11/2012,4
05/09/2013,4
22/04/2012,4
12/12/2009,4
18/01/2007,4
27/10/2006,4
06/02/2011,4
12/03/2008,4
21/10/2008,4
05/06/2009,4
13/02/2011,4
29/02/2008,4
27/09/2008,4
05/12/2008,4
17/12/2009,4
11/07/2007,4
20/08/2009,4
04/12/2006,4
25/10/2008,4
30/12/2012,4
09/05/2011,4
20/03/2010,4
01/07/2010,4
04/07/2009,4
25/05/2009,4
08/06/2012,4
11/04/2012,3
01/09/2010,3
27/02/2010,3
16/02/2012,3
23/02/2011,3
04/10/2007,3
06/03/2009,3
05/02/2013,3
09/09/2011,3
10/08/2011,3
11/11/2013,3
24/03/2013,3
15/10/2011,3
31/03/2008,3
13/02/2012,3
07/12/2009,3
12/04/2010,3
30/08/2012,3
04/01/2010,3
25/03/2008,3
24/10/2009,3
30/07/2011,3
22/04/2013,3
21/05/2011,3
17/06/2010,3
09/01/2009,3
16/01/2010,3
22/03/2010,3
19/06/2012,3
29/10/2012,3
15/08/2010,3
23/07/2009,3
22/03/2012,2
02/12/2008,2
06/08/2009,2
10/10/2010,2
20/01/2011,2
26/03/2006,2
26/03/2010,2
18/02/2010,2
12/01/2010,2
30/01/2010,2
29/04/2010,2
29/05/2012,2
23/04/2008,2
16/06/2010,2
01/02/2012,2
10/12/2007,2
14/02/2011,2
07/01/2006,1
21/02/2008,1
04/12/2011,1
17/05/2010,1
